Keywords,Event ID,Title,Organizer,Start (PT),Address,Description,URL,Fee
"career, professional",1400384861819,PMP Pass Guarantee In-Person Training in San Diego,North America's Largest Training and Certification Provider,2025-07-07 16:00,"501 W Broadway Suite 800, San Diego, CA, 92101, US","Guarantee to run in-person PMP exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/pmp-pass-guarantee-in-person-training-in-san-diego-tickets-1400384861819,USD 1799.00
"leaders, leadership",1407817162029,R&B Bingo Parent Night,Young Visionaries Youth Leadership Academy,2025-07-07 16:00,"604 West 4th Street, San Bernardino, CA, 92410, US",Get ready to groove and win some R&B Bingo prizes while enjoying a night out with other parents - it's going to be a blast!,https://www.eventbrite.com/e/rb-bingo-parent-night-tickets-1407817162029,"(free, free)"
"career, professional",1375066534019,Six Sigma Black Belt Course with Exam Voucher Training in Irvine,North America's Largest Training and Certification Provider,2025-07-07 16:00,"300 Spectrum Center Dr Suite 400, Irvine, CA, 92614, US","Guarantee to run in-person Lean Six Sigma Black Belt exam prep course with pass guarantee, certified instructors and exam voucher.",https://www.eventbrite.com/e/six-sigma-black-belt-course-with-exam-voucher-training-in-irvine-tickets-1375066534019,USD 1999.00
"career, professional",1407749389319,CAPM Pass Guarantee In-Person Training in Irvine,North America's Largest Training and Certification Provider,2025-07-07 16:00,"300 Spectrum Center Dr Suite 400, Irvine, CA, 92614, US","Guarantee to run in-person CAPM exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/capm-pass-guarantee-in-person-training-in-irvine-tickets-1407749389319,USD 1799.00
professional,1413502336539,Crafting Your Passion Program: Hi-Performing Women Class -Online-Long Beach,Rodolfo Alvarez,2025-07-07 16:00,"Long Beach, Long Beach, CA, 90712, US",This class aims to empower high-performing women to reconnect with their expertise and refine them into a Passion Program.,https://www.eventbrite.com/e/crafting-your-passion-program-hi-performing-women-class-online-long-beach-tickets-1413502336539,free
professional,1261823139979,Grow Your Biz: Pro Branding & Social Selling Online Event (Los Angeles),experiencethegrowthjourney@outlook.com,2025-07-07 17:00,"Online, Los Angeles, CA, 90011, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-los-angeles-tickets-1261823139979,free
professional,1270054299599,Grow Your Biz: Pro Branding & Social Selling Online Event (Glendale),experiencethegrowthjourney@outlook.com,2025-07-07 17:00,"Online, Glendale, CA, 91205, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-glendale-tickets-1270054299599,free
professional,1126440446699,Grow Your Biz: Pro Branding & Social Selling Online Event (San Diego),experiencethegrowthjourney@outlook.com,2025-07-07 17:00,"Online, San Diego, CA, 92154, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-san-diego-tickets-1126440446699,free
professional,1261833250219,Grow Your Biz: Pro Branding & Social Selling Online Event (Oxnard),experiencethegrowthjourney@outlook.com,2025-07-07 17:00,"Online, Oxnard, CA, 93033, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-oxnard-tickets-1261833250219,free
professional,1126856390799,Grow Your Biz: Pro Branding & Social Selling Online Event (Riverside),experiencethegrowthjourney@outlook.com,2025-07-07 17:00,"Online, Riverside, CA, 92503, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-riverside-tickets-1126856390799,free
professional,1236770306279,Grow Your Biz: Pro Branding & Social Selling Online Event (Chula Vista),experiencethegrowthjourney@outlook.com,2025-07-07 17:00,"Online, Chula Vista, CA, 91911, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-chula-vista-tickets-1236770306279,free
"career, professional",1309015152559,Pursuing Peace & Purpose for Empaths & Highly Sensitives - San Diego,Instant Ease With Presh,2025-07-07 18:00,"San Diego, San Diego, CA, 92101, US","Join this 3-day online workshop ($55, now FREE for a limited time!) to kickstart your Pursuit of Peace & Purpose as an empath or HSP.",https://www.eventbrite.com/e/pursuing-peace-purpose-for-empaths-highly-sensitives-san-diego-tickets-1309015152559,USD 55.00
"career, professional",1309116525769,Pursuing Peace & Purpose for Empaths & Highly Sensitives - El Monte,Instant Ease With Presh,2025-07-07 18:00,"El Monte, El Monte, CA, 91731, US","Join this 3-day online workshop ($55, now FREE for a limited time!) to kickstart your Pursuit of Peace & Purpose as an empath or HSP.",https://www.eventbrite.com/e/pursuing-peace-purpose-for-empaths-highly-sensitives-el-monte-tickets-1309116525769,USD 55.00
"career, professional",1309187387719,Pursuing Peace & Purpose for Empaths & Highly Sensitives - Moreno Valley,Instant Ease With Presh,2025-07-07 18:00,"Moreno Valley, Moreno Valley, CA, 92553, US","Join this 3-day online workshop ($55, now FREE for a limited time!) to kickstart your Pursuit of Peace & Purpose as an empath or HSP.",https://www.eventbrite.com/e/pursuing-peace-purpose-for-empaths-highly-sensitives-moreno-valley-tickets-1309187387719,USD 55.00
professional,1336509147839,"Performance Management 1 Day Training in Bakersfield, CA",Mangates,2025-07-07 20:30,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/performance-management-1-day-training-in-bakersfield-ca-tickets-1336509147839,"(USD 595.00, USD 795.00)"
"career, professional",1363502485639,Dual Lean Six Sigma Green & Black Exam Prep In-Person Course in San Diego,"Certification Planner, LLC ""Your Learning Club""",2025-07-08 06:00,"501 W Broadway Suite 800, San Diego, CA, 92101, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-course-in-san-diego-tickets-1363502485639,USD 1999.00
"career, professional",1363501151649,Dual Lean Six Sigma Green & Black Exam Prep In-Person CourseinOrange County,"Certification Planner, LLC ""Your Learning Club""",2025-07-08 06:00,"333 City Blvd W 3rd & 17th Floor, Orange County, CA, 92868, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-courseinorange-county-tickets-1363501151649,USD 1999.00
"career, professional",1363491883929,"Dual Lean Six Sigma Green & Black Exam Prep In-Person Course in Irvine,CA","Certification Planner, LLC ""Your Learning Club""",2025-07-08 06:00,"300 Spectrum Center Dr Suite 400, Irvine, CA, 92614, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-course-in-irvineca-tickets-1363491883929,USD 1999.00
"career, professional",1363501131589,Dual Lean Six Sigma Green & Black Exam Prep In-Person Course in Los Angeles,"Certification Planner, LLC ""Your Learning Club""",2025-07-08 06:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-course-in-los-angeles-tickets-1363501131589,USD 1999.00
professional,1124419943319,"Negotiation Skills - Professional 1 Day Training in San Diego, CA",Mangates,2025-07-08 08:00,"PH: +1 469 666 9332, San Diego, CA, 92101, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/negotiation-skills-professional-1-day-training-in-san-diego-ca-tickets-1124419943319,"(USD 595.00, USD 795.00, USD 795.00)"
professional,1116526523889,"Proposal Writing 1 Day Training in San Diego, CA",Mangates,2025-07-08 08:00,"PH: +1 469 666 9332, San Diego, CA, 92101, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/proposal-writing-1-day-training-in-san-diego-ca-tickets-1116526523889,"(USD 595.00, USD 795.00)"
professional,1110196550769,"Personal Branding 1 Day Training in Irvine, CA",Mangates,2025-07-08 08:00,"PH: +1 469 666 9332, Irvine, CA, 92618, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/personal-branding-1-day-training-in-irvine-ca-tickets-1110196550769,"(USD 595.00, USD 795.00, USD 795.00)"
"career, leaders, leadership, professional",1123073526149,Influential Leadership: A Monthly Masterclass in Santa Barbara,Influential U,2025-07-08 08:00,"351 Paseo Nuevo, Santa Barbara, CA, 93101, US","Tailored for ambitious professionals, each session dives into actionable strategies to handle high-stakes decisions, and motivate teams.",https://www.eventbrite.com/e/influential-leadership-a-monthly-masterclass-in-santa-barbara-tickets-1123073526149,USD 25.00
professional,1255603627249,"Building High Performing Teams 1 Day Workshop in Bakersfield, CA",Mangates,2025-07-08 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US","Offers: Group of 5 - 10 people 10% Discount, Group of 11 - 20 people 15% Discount",https://www.eventbrite.sg/e/building-high-performing-teams-1-day-workshop-in-bakersfield-ca-tickets-1255603627249,"(USD 595.00, USD 795.00)"
professional,1333591400779,"Public Speaking 1 Day Workshop in Bakersfield, CA",Mangates,2025-07-08 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Get ready to boost your public speaking skills in just one day at our workshop,https://www.eventbrite.sg/e/public-speaking-1-day-workshop-in-bakersfield-ca-tickets-1333591400779,"(USD 595.00, USD 795.00)"
professional,1301749370409,"The Power of Change: Change Management Workshop in Bakersfield, CA",Mangates,2025-07-08 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Join us  for a hands-on 1 day workshop on mastering change management and unleashing your power to create positive transformations!,https://www.eventbrite.sg/e/the-power-of-change-change-management-workshop-in-bakersfield-ca-tickets-1301749370409,"(USD 595.00, USD 795.00)"
professional,1251721034309,"Brand Yourself for Success - 1 Day Workshop in Bakersfield, CA",Mangates,2025-07-08 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US","Offers: Group of 5 - 10 people 10% Discount, Group of 11 - 20 people 15% Discount",https://www.eventbrite.sg/e/brand-yourself-for-success-1-day-workshop-in-bakersfield-ca-tickets-1251721034309,"(USD 595.00, USD 795.00)"
professional,1260936427799,"Lead with Integrity: Business Ethics Workshop  in Bakersfield, CA",Mangates,2025-07-08 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Strengthen your decision-making skills to navigate business ethics challenges in a 1-day workshop!,https://www.eventbrite.sg/e/lead-with-integrity-business-ethics-workshop-in-bakersfield-ca-tickets-1260936427799,"(USD 595.00, USD 795.00)"
professional,1341837284439,"Master Your Emotions in One Day Training in Riverside, CA",Academy for Pros,2025-07-08 09:00,"11801 Pierce Street #Suite 200, +1 469 666 9332, Riverside, CA, 92505, US","This workshop will equip you with tools to understand, manage and apply emotional intelligence in personal and professional life.",https://www.eventbrite.com/e/master-your-emotions-in-one-day-training-in-riverside-ca-tickets-1341837284439,"(USD 595.00, USD 795.00)"
"leaders, leadership, professional",1366706208059,"Unlock Your Management Potential : 1 Day Workshop  in Bakersfield, CA",Academy for Pros,2025-07-08 09:00,"5701 Truxtun Avenue #STE 220, + 1 469 666 9332, Bakersfield, CA, 93309, US","1-day course boosting core management skills: goal-setting, delegation, feedback, and team engagement for effective leadership.",https://www.eventbrite.com/e/unlock-your-management-potential-1-day-workshop-in-bakersfield-ca-tickets-1366706208059,"(USD 595.00, USD 795.00)"
professional,1119537409529,"Internet Marketing Fundamentals 1 Day Training in San Diego, CA",Mangates,2025-07-08 09:00,"PH: +1 469 666 9332, San Diego, CA, 92101, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/internet-marketing-fundamentals-1-day-training-in-san-diego-ca-tickets-1119537409529,"(USD 595.00, USD 795.00)"
professional,1139556296559,"Teamwork Skills 1 Day Training in Costa Mesa, CA",Mangates,2025-07-08 09:00,"PH: +1 469 666 9332, Costa Mesa, CA, 92626, US","Offers: Group of 5 - 10 people 10% Discount, Group of 11 - 20 people 15% Discount",https://www.eventbrite.sg/e/teamwork-skills-1-day-training-in-costa-mesa-ca-tickets-1139556296559,"(USD 595.00, USD 795.00)"
professional,1139527490399,"Motivating People 1 Day Training in Los Angeles, CA",Mangates,2025-07-08 09:00,"PH: +1 469 666 9332, Los Angeles, CA, 90071, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/motivating-people-1-day-training-in-los-angeles-ca-tickets-1139527490399,"(USD 595.00, USD 795.00)"
"development, professional, professional development",1121101999259,"Professional Development Essentials 1 Day Training in San Diego, CA",Mangates,2025-07-08 09:00,"PH: +1 469 666 9332, San Diego, CA, 92101, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/professional-development-essentials-1-day-training-in-san-diego-ca-tickets-1121101999259,"(USD 595.00, USD 795.00)"
professional,1122636418749,"Performance Management 1 Day Training in Los Angeles, CA",Mangates,2025-07-08 09:00,"PH: +1 469 666 9332, Los Angeles, CA, 90071, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/performance-management-1-day-training-in-los-angeles-ca-tickets-1122636418749,"(USD 595.00, USD 795.00)"
professional,1117214973059,"Business Finance Basics 1 Day Training in Costa Mesa, CA",Mangates,2025-07-08 09:00,"PH: +1 469 666 9332, Costa Mesa, CA, 92626, US","Offers: Group of 5 - 10 people 10% Discount, Group of 11 - 20 people 15% Discount",https://www.eventbrite.sg/e/business-finance-basics-1-day-training-in-costa-mesa-ca-tickets-1117214973059,"(USD 595.00, USD 795.00)"
professional,1117563615859,"Business Finance Basics 1 Day Training in San Diego, CA",Mangates,2025-07-08 09:00,"PH: +1 469 666 9332, San Diego, CA, 92101, US","Offers: Group of 5 - 10 people 10% Discount, Group of 11 - 20 people 15% Discount",https://www.eventbrite.sg/e/business-finance-basics-1-day-training-in-san-diego-ca-tickets-1117563615859,"(USD 595.00, USD 795.00)"
professional,1367690632499,Get unstuck & take inspired action in your soul-aligned business - Anaheim,Coach Katt,2025-07-08 10:00,"Virtual via Zoom, Anaheim, CA, 92801, US",A masterclass for spiritual women entrepreneurs who are feeling stuck as you launch or expand your soul-business,https://www.eventbrite.ca/e/get-unstuck-take-inspired-action-in-your-soul-aligned-business-anaheim-tickets-1367690632499,free
professional,1367628366259,Get unstuck & take inspired action in your soul-aligned business- Lancaster,Coach Katt,2025-07-08 10:00,"Virtual via Zoom, Lancaster, CA, 93534, US",A masterclass for spiritual women entrepreneurs who are feeling stuck as you launch or expand your soul-business,https://www.eventbrite.ca/e/get-unstuck-take-inspired-action-in-your-soul-aligned-business-lancaster-tickets-1367628366259,free
professional,1367806619419,Get unstuck & take inspired action in your soul-aligned business- Riverside,Coach Katt,2025-07-08 10:00,"Virtual via Zoom, Riverside, CA, 92501, US",A masterclass for spiritual women entrepreneurs who are feeling stuck as you launch or expand your soul-business,https://www.eventbrite.ca/e/get-unstuck-take-inspired-action-in-your-soul-aligned-business-riverside-tickets-1367806619419,free
professional,1367677061909,Get unstuck & take inspired action in your soul business - Bakersfield,Coach Katt,2025-07-08 10:00,"Virtual via Zoom, Bakersfield, CA, 93309, US",A masterclass for spiritual women entrepreneurs who are feeling stuck as you launch or expand your soul-aligned business,https://www.eventbrite.ca/e/get-unstuck-take-inspired-action-in-your-soul-business-bakersfield-tickets-1367677061909,free
professional,1367804703689,Get unstuck & take inspired action in your soul-aligned business- Santa Ana,Coach Katt,2025-07-08 10:00,"Virtual via Zoom, Santa Ana, CA, 92701, US",A masterclass for spiritual women entrepreneurs who are feeling stuck as you launch or expand your soul-business,https://www.eventbrite.ca/e/get-unstuck-take-inspired-action-in-your-soul-aligned-business-santa-ana-tickets-1367804703689,free
"career, professional",1302302063529,"2025 - July ASQ Orange Empire, Section 0701, Monthly Meeting",ASQ Orange Empire Section 0701,2025-07-08 17:30,"1132 E Katella Ave, Orange, CA, 92867, US",Join ASQ Orange Empire section for dinner and learning with the Quality community.,https://www.eventbrite.com/e/2025-july-asq-orange-empire-section-0701-monthly-meeting-tickets-1302302063529,"(USD 30.00, USD 30.00, USD 40.00)"
"planning, professional",1366195590789,Finance & Estate Planning for Families,Dewane Investment  Strategies,2025-07-08 18:30,"1015 Baker Street, Costa Mesa, CA, 92626, US",Learn what financial planning for your family looks like and what basic estate planning documents you should consider for your family.,https://www.eventbrite.com/e/finance-estate-planning-for-families-tickets-1366195590789,free
development,1333489696579,Psychic Development | with Illumination,BOTI Studios,2025-07-08 19:00,"607 South Harbor Boulevard, Anaheim, CA, 92805, US","Unlock your intuition, read energy, and channel light language to expand your consciousness and connect with the universal field.",https://www.eventbrite.com/e/psychic-development-with-illumination-tickets-1333489696579,USD 25.00
"development, professional, professional development",1071240341699,Virtual TA Orientation Brief,MCRD SD/WRR Personal & Professional Development,2025-07-09 08:00,"4025 Tripoli Avenue, #bldg 111, San Diego, CA, 92140, US",MCRD San Diego / WRR – Marine Corps Community Services Personal & Professional Development,https://www.eventbrite.com/e/virtual-ta-orientation-brief-tickets-1071240341699,free
"career, professional",1216410549699,Tri City Professionals Chapter Networking Event: Collaborate and Thrive,TEAM Referral Network,2025-07-09 08:00,"15922 Gale Avenue, Hacienda Heights, CA, 91745, US","Join the Tri City Professionals Chapter of TEAM Referral Network, for a networking experience where referrals and collaboration take stage",https://www.eventbrite.com/e/tri-city-professionals-chapter-networking-event-collaborate-and-thrive-tickets-1216410549699,free
professional,1216436407039,TEAM Legacy SFV Networking Event: Strengthen Your Connections,TEAM Referral Network,2025-07-09 08:15,"777 North Maclay Avenue, San Fernando, CA, 91340, US",Northeast Valley-San Fernando Networking Event: Elevate Your Business with Referrals and Quality Business Partnerships,https://www.eventbrite.com/e/team-legacy-sfv-networking-event-strengthen-your-connections-tickets-1216436407039,free
professional,1139588763669,"Wellness 1 Day Training in Costa Mesa, CA",Mangates,2025-07-09 09:00,"PH: +1 469 666 9332, Costa Mesa, CA, 92626, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/wellness-1-day-training-in-costa-mesa-ca-tickets-1139588763669,"(USD 595.00, USD 795.00)"
"career, professional",1250620432379,Aligning Passion with Profession:  Your Soul's Journey - Chula Vista,Kathy Peters,2025-07-09 09:00,"Virtual via Zoom, Chula Vista, CA, 91902, US",Discover the exciting path to fulfilling work that nourishes your spirit as we dive deep into aligning your passion with your profession.,https://www.eventbrite.com/e/aligning-passion-with-profession-your-souls-journey-chula-vista-tickets-1250620432379,free
"career, professional",1250693069639,Aligning Passion with Profession:  Your Soul's Journey - Corona,Kathy Peters,2025-07-09 09:00,"Virtual via Zoom, Corona, CA, 92877, US",Discover the exciting path to fulfilling work that nourishes your spirit as we dive deep into aligning your passion with your profession.,https://www.eventbrite.com/e/aligning-passion-with-profession-your-souls-journey-corona-tickets-1250693069639,free
"career, professional",1250536621699,Aligning Passion with Profession:  Your Soul's Journey - Los Angeles,Kathy Peters,2025-07-09 09:00,"Virtual via Zoom, Los Angeles, CA, 90001, US",Discover the exciting path to fulfilling work that nourishes your spirit as we dive deep into aligning your passion with your profession.,https://www.eventbrite.com/e/aligning-passion-with-profession-your-souls-journey-los-angeles-tickets-1250536621699,free
professional,1137734096309,"Essential Coaching Skills for Managers 1 Day Training in Costa Mesa, CA",Mangates,2025-07-09 09:00,"PH: +1 469 666 9332, Costa Mesa, CA, 92626, US","Offers: Group of 5 - 10 people 10% Discount, Group of 11 - 20 people 15% Discount",https://www.eventbrite.sg/e/essential-coaching-skills-for-managers-1-day-training-in-costa-mesa-ca-tickets-1137734096309,"(USD 595.00, USD 795.00)"
"career, professional",1250597162779,Aligning Passion with Profession:  Your Soul's Journey - Riverside,Kathy Peters,2025-07-09 09:00,"Virtual via Zoom, Riverside, CA, 92501, US",Discover the exciting path to fulfilling work that nourishes your spirit as we dive deep into aligning your passion with your profession.,https://www.eventbrite.com/e/aligning-passion-with-profession-your-souls-journey-riverside-tickets-1250597162779,free
"career, professional",1250677503079,Aligning Passion with Profession:  Your Soul's Journey - Santa Barbara,Kathy Peters,2025-07-09 09:00,"Virtual via Zoom, Santa Barbara, CA, 93101, US",Discover the exciting path to fulfilling work that nourishes your spirit as we dive deep into aligning your passion with your profession.,https://www.eventbrite.com/e/aligning-passion-with-profession-your-souls-journey-santa-barbara-tickets-1250677503079,free
professional,1393097404839,MetroConnect Small Business Workshop: Alternative Delivery,Metro Connect,2025-07-09 10:00,"One Gateway Plaza, 3rd Floor, Board Room, Los Angeles, CA 90012, Los Angeles, CA, 90012, US",MetroConnect: Demystifying Metro's Alternative Delivery & Early Work Packages,https://www.eventbrite.com/e/metroconnect-small-business-workshop-alternative-delivery-tickets-1393097404839,free
professional,1291490887009,Business Networking Lunch & Learn in Anaheim,John Ortiz,2025-07-09 11:30,"250 East Center Street, The Boardroom, Anaheim, CA, 92805, US","This is not a ""Business Card Exchange"" networking event. Confirm Your Eligibility Before Your Buy a Ticket. #RelationshipsGenerateRevenue.",https://www.eventbrite.com/e/business-networking-lunch-learn-in-anaheim-tickets-1291490887009,"(USD 20.00, USD 40.00)"
professional,1216461151049,Unlock Your Business Potential at Inland Empire Power Partners,TEAM Referral Network,2025-07-09 11:30,"1041 East 16th Street, Upland, CA, 91784, US",Inland Empire Power Partners  Networking Event: Elevate Your Business with Referrals and Quality Business Partnerships,https://www.eventbrite.com/e/unlock-your-business-potential-at-inland-empire-power-partners-tickets-1216461151049,free
professional,968982311177,2025 Curriculum Institute - Hybrid Event,Academic Senate for California Community Colleges,2025-07-09 13:00,"2000 East Convention Center Way, Ontario, CA, 91764, US",Welcome to the 2025 Curriculum Institute - Hybrid Event,https://www.eventbrite.com/e/2025-curriculum-institute-hybrid-event-registration-968982311177,"(USD 695.00, USD 645.00, USD 400.00, USD 50.00)"
professional,1216473317439,Unlock Your Business Potential at Trusted Referral Partners,TEAM Referral Network,2025-07-09 15:00,"27307 Vía Industria, #K-1, Temecula, CA, 92590, US","Discover a networking experience with the Trusted Referral Partners chapter of TEAM Referral Network, where entrepreneurship meets community",https://www.eventbrite.com/e/unlock-your-business-potential-at-trusted-referral-partners-tickets-1216473317439,free
professional,1388532029679,Startup Pitch Event Los Angeles,Derun Events,2025-07-09 19:00,"1203 South Olive Street, Los Angeles, CA, 90015, US","We are organizing a Networking Event for Startups Founders, Professionals and Investors.",https://www.eventbrite.com/e/startup-pitch-event-los-angeles-tickets-1388532029679,"(free, USD 15.20, USD 23.00, USD 39.99, USD 10.00, USD 59.99)"
professional,1392439787889,Speed Networking | Los Angeles | Meet Business Professionals | NetworkNite,NetworkNite,2025-07-09 19:30,"9850 Wilshire Boulevard, Beverly Hills, CA, 90210, US",Speed Networking | Los Angeles | Meet Business Professionals | NetworkNite,https://www.eventbrite.com/e/speed-networking-los-angeles-meet-business-professionals-networknite-tickets-1392439787889,"(USD 28.95, USD 32.95)"
